L4,L2,H2,L1,H1,H2
H3,H2,L3,L2,L1,H4
L2,H2,L2,PT,L1,L3
L3,H2,H4,H1,H3,L2
L2,L3,H2,L2,H3,L3
H1,H1,L1,H4,H3,H4
L1,WI,L1,H4,H1,H2
L2,H4,H2,L2,H2,H4
L4,H1,H4,L3,L2,L1
H1,L3,L2,H4,H1,L4
H3,H4,L3,L3,H2,L4
L3,H3,H2,L3,L3,L1
H3,H3,H1,L4,H4,H2
H1,L2,L4,L4,H1,L2
L1,H2,L2,L4,H1,L4
L3,H1,L4,H3,H3,L1
L3,H2,L4,H2,L4,PT
L2,H2,WI,H1,H4,L3
H4,L4,L3,H1,L3,L1
L2,L2,H1,L3,WI,H4
L3,L2,H3,H4,L1,L4
L1,L1,L2,L1,L4,H3
L1,L4,H4,H2,L4,H2
H4,L4,H2,WI,L4,L2
L1,L4,H2,H3,H4,L3
L3,H2,H1,H3,H3,L4
L1,H3,H4,H3,H3,H3
WI,H3,H2,L1,H4,L4
H1,L2,L2,L2,L2,WI
L4,L1,L2,H4,H2,L4
H1,H1,L3,L4,L4,H4
H2,L4,L3,L4,H3,L4
L2,H4,H2,H3,L2,H4
H2,L2,L1,H2,L4,H4
H2,H2,PT,L4,L2,H2
H4,L3,H1,H2,H4,L2
L4,WI,L1,H1,H3,L3
H4,L3,H3,L1,H2,L2
L3,H4,L4,H3,PT,H1
H2,H4,L4,L4,L1,L4
L4,H4,H2,H1,H4,L1
L2,L3,H3,H1,L3,L3
L1,H1,L4,L1,H2,L2
L2,H4,H1,L4,L3,L1
H2,L4,H4,H4,L1,L1
H1,L2,L2,L3,L1,H4
L2,H3,WI,H1,L1,H1
H1,PT,H3,L4,L2,H3
H4,L4,L2,H3,L4,L3
H4,L4,H3,L2,L2,H2
L3,L4,L3,L3,L3,L2
L3,H1,L1,H4,L2,H3
H3,L1,H3,H2,WI,H3
WI,L2,H3,WI,L3,H3
H3,L3,L2,H2,H1,H3
H4,H2,L1,H4,H2,WI
PT,L3,L4,H2,H3,H2
H2,H3,H1,H2,H4,L2
L2,H3,L1,H3,L2,H2
H2,L1,H4,L2,L3,H1
L2,H2,H3,H2,H1,L4
L1,L1,H3,L2,H1,L4
L1,L3,L3,H2,H4,H1
H2,L1,L2,PT,L3,H3
L1,H1,L1,L2,H1,L3
H3,H4,L4,L2,H3,H2
H1,H3,L3,L2,L1,L2
H3,L3,L1,L3,H2,H4
H4,L2,L2,L1,L4,L1
L3,L2,H1,L3,H3,H4
L4,WI,H4,L1,L4,L4
L2,L1,H2,L1,L4,L4
H1,L1,L2,L3,L2,H4
L2,L3,L3,L2,H4,H1
H2,L4,L2,H1,L3,H3
H4,H3,WI,H4,L1,PT
L1,H1,H3,H1,H3,H4
H1,L4,L4,L4,H1,L4
L4,L4,H2,L1,H2,H3
H4,H4,L4,L2,H4,H1
H3,L2,H4,L3,WI,L3
H1,H3,L2,WI,L4,H3
L4,H3,L1,L3,L2,H1
L3,L4,H2,L1,L2,L3
L1,H4,L4,H2,L1,H1
WI,L2,H4,H1,L4,L3
L3,L3,L1,H4,L1,WI
L3,L1,H4,H4,L3,L4
H2,L3,H2,H3,H2,L1
H3,H4,L1,L3,H4,H2
H2,H1,H1,L4,L3,L1
L4,L2,L3,H4,L2,H3
H4,H2,L3,H3,L3,L1
H4,H3,H1,H1,H4,L2
H3,H3,L4,L1,H4,L3
L3,H1,PT,H2,H1,H4
H3,L1,L1,L4,H4,H1
H4,H1,H4,H3,PT,H2
H2,WI,L4,H3,H2,L3
L2,L4,H3,L3,L2,L1
H1,L1,L3,L3,L2,H3
L2,L1,H4,H4,L4,L2
H2,H1,H3,L1,H2,H1
L4,L3,H1,L2,L3,L2
H3,PT,WI,H3,L3,L2
L4,L1,H1,L4,L1,H3
L4,L2,L2,L2,L2,H1
L1,L3,L1,H2,H2,H4
H4,L4,H3,L1,L4,H2
L4,H4,L3,L4,WI,L1
L1,H4,L3,H4,H4,L2
L3,L3,L4,H1,L1,H4
PT,H4,L3,L4,L4,H1
H3,L1,H4,WI,H2,L2
H4,L1,L1,L1,L3,L3
L1,H4,H4,L3,L1,L3
L4,H2,H1,H3,H3,H2
WI,H3,H3,H4,H1,L1
H3,L2,L4,L2,L1,L1
L4,H2,H4,L1,H3,WI
