SC,H3,L4,L2,L1,H3
H2,L4,H3,L1,H2,L3
H4,L1,PT,H4,L3,H2
H1,H1,L2,H4,H4,L4
H3,H4,H2,L4,L3,L2
H1,L4,SC,PT,PT,H1
L3,H1,WI,L4,H1,H4
H3,H2,L4,H3,L1,L4
L4,H1,L2,L2,WI,H1
L1,H3,H2,L4,SC,H4
L4,H3,H1,H3,L2,H4
L2,H4,H1,H2,H2,L3
H1,H1,H4,H2,H1,H3
H4,SC,H1,L2,H4,H2
H3,L1,H4,H2,L1,H2
L4,H3,H2,SC,L3,H4
H2,WI,H3,L3,H2,H4
H1,L2,H4,L2,H2,H2
WI,L3,H1,L2,H4,H4
H2,H2,L1,H3,L4,SC
SC,H1,L1,L4,H4,L4
H4,H1,H4,H1,PT,WI
H2,L3,H1,H4,L2,L4
H4,L1,L2,H4,L1,PT
PT,H3,H1,H1,H2,PT
H2,PT,L1,H1,H2,H2
L3,H1,SC,H3,H3,H4
L3,L4,L4,PT,H2,H2
WI,WI,H2,H3,H1,WI
L1,H2,L3,H3,H2,H3
L2,H4,H4,H1,SC,L1
L1,H1,H2,H2,H1,H2
L4,H4,L3,H1,H3,H2
L1,H1,L1,L4,H1,H3
PT,H4,H3,H4,H3,H3
H1,L1,L3,L1,WI,L3
H2,SC,L1,SC,H1,H1
H1,H2,L2,H2,WI,H3
H3,H2,H1,H3,L4,SC
H1,H2,H3,H4,L1,H2
SC,L2,H3,H1,H3,H4
L2,L2,L2,WI,L4,L4
H1,H2,SC,H2,H2,WI
H3,H4,L2,H1,L4,PT
L1,H2,H1,H4,L1,L2
L4,H3,L3,H3,H1,H1
H2,H2,H1,L1,PT,L1
L4,L2,H1,L1,H3,L4
H2,H1,L1,H1,H1,L1
H3,L3,H3,H2,H4,L1
H4,H4,L1,H4,SC,L1
H2,H2,H3,H2,L2,H3
WI,H3,L2,H1,H3,H2
H3,SC,H2,L1,L2,H2
H3,H1,L4,L2,WI,L2
H1,L3,PT,H3,L4,WI
L3,H4,H2,H4,H3,H4
H1,WI,H4,H3,H2,H2
L4,L3,PT,SC,L4,L3
H4,H4,H2,H2,H1,SC
H2,H3,H1,H1,L3,H1
H1,L1,H1,H2,H2,L3
H4,H3,SC,L1,H4,H1
SC,H4,L3,H4,H1,H1
H4,H2,H1,L3,H4,H2
H2,L2,H3,L2,H4,H1
L4,L4,H3,L3,H3,L4
H1,H1,H3,L3,H1,L2
H2,H3,H2,L4,H1,L4
H1,H1,H2,WI,H1,H2
H3,H1,L4,L3,L2,H1
H1,L4,H2,H2,SC,L1
H4,H2,H2,H2,L3,H3
L3,H4,H1,H1,L4,H4
H1,SC,H4,H3,H2,H2
WI,WI,H2,H1,H4,H2
H2,L4,L4,SC,H2,SC
H1,H1,H4,H2,H2,L1
H4,H2,H4,H1,H1,H1
H2,H4,L4,H1,H2,H1
SC,L3,L4,H3,H3,H3
H1,H2,H1,H2,H2,H3
L2,WI,WI,L4,H1,H1
H2,WI,H4,H1,H4,PT
PT,PT,H4,H1,WI,H1
L2,H1,WI,L3,H3,H3
H4,H2,SC,H1,L1,L2
L1,H2,H2,H3,H1,L2
H1,L4,H4,H4,SC,WI
H3,L1,H2,WI,H1,H3
H3,L2,H3,H2,L2,H3
H4,L4,L3,H3,H3,H3
H3,PT,H1,PT,L4,WI
H3,H4,H3,H1,H2,H1
L3,H4,H2,H4,H2,H2
H2,SC,H3,SC,H1,H1
H2,H3,H1,L1,H2,SC
H2,H1,H4,H2,L4,H1
H1,H2,PT,H1,H4,H2
H3,L3,H2,H3,H3,H3
L4,H2,H1,H1,L2,H1
L1,L2,H2,PT,H3,H4
SC,H3,L3,H2,H1,L3
L3,H1,SC,L3,H3,L4
H1,H3,H1,H2,H4,H1
H1,H3,L2,WI,H3,H1
L2,H1,H1,WI,H1,L3
WI,L3,H3,H2,L2,H1
H1,PT,WI,L2,L3,H4
H4,H2,H2,WI,WI,L2
L2,L1,H2,H4,PT,H3
WI,H2,H1,H1,H2,H1
H3,H3,L4,H3,SC,L3
L2,SC,H1,L4,H1,L2
L3,H1,H3,H2,H4,H1
H2,H3,L3,H1,H4,H2
PT,H1,H3,L3,L3,SC
H3,H1,WI,H4,L3,H4
H2,L4,WI,SC,H3,H2
H4,L2,H4,L4,H1,H4
