L1,H1,L3,L3,H3,H2
L2,H4,H4,H2,H4,L1
H1,L3,H4,H1,H3,H2
H2,L1,H1,L4,H2,H2
SC,H2,H1,H2,H2,L3
H2,H1,L4,H2,SC,H1
H2,H1,H2,H1,H2,H3
H2,H1,H4,L3,L1,L3
L4,H1,L3,L2,H3,H1
L1,H2,L4,H1,H4,H1
H4,L4,H3,H2,L1,L4
L2,H2,H4,H2,H1,H2
H4,H2,SC,H2,H1,L1
L3,H3,H2,H3,L4,H3
H4,H3,H3,H1,H3,SC
L4,H3,L1,H1,L2,L3
L3,H1,H1,H3,H1,H1
L1,H2,H3,H1,H3,H1
H2,L2,L2,H1,H4,H1
H3,SC,L2,H1,H2,L1
H1,H4,L4,SC,H3,H3
PT,H3,H2,H3,H2,H2
H2,H1,H1,L1,SC,L4
H1,H4,H3,H2,L2,H4
L4,L4,H1,H2,H2,PT
SC,H2,H1,H3,PT,L1
H1,H1,H2,PT,H1,L2
H3,H3,H3,H2,L4,L2
H2,H3,H1,L2,L3,H3
H4,H2,H2,L3,H3,H1
L1,L3,H3,H2,L2,H3
H1,H1,SC,H3,H2,H3
L1,L3,H4,L2,H2,SC
H3,L3,H2,PT,L4,L1
L3,H2,H1,L1,H1,H3
H3,H2,L3,H2,H1,H2
L2,L2,H2,L1,H3,H4
H3,H1,PT,H1,H3,H4
H2,L4,L1,H2,L3,H4
L2,H1,L1,L1,H4,PT
L3,SC,H1,H2,H1,L4
H1,H4,L1,SC,L4,PT
H1,H3,L3,L2,SC,H4
L2,H4,H2,H1,H1,L4
SC,H1,L1,H4,L4,H3
H2,H2,H2,L2,H4,L4
L4,L2,H3,H4,L4,L2
L4,H2,H4,L3,PT,H3
H2,L4,H4,L2,H2,H1
H1,H1,PT,L4,H2,L1
H1,L4,H2,H3,L4,H2
H1,H3,H4,H3,L1,L1
H4,L2,SC,PT,L3,H2
H3,H2,H3,H2,H2,SC
H2,H3,L4,H3,L1,L4
H2,L2,H2,H1,L4,L3
L4,SC,L2,L3,L2,H3
H4,L4,L4,H3,H4,L2
L4,H1,L1,H4,H1,H2
H2,L4,H1,H1,H2,H1
H3,L1,H1,H4,H4,H2
H4,L2,L4,H1,H1,H4
H1,L2,L1,SC,SC,L2
H2,H4,H1,H1,L3,H1
L1,H2,H1,H2,H1,H1
H4,H4,PT,H1,H1,H1
SC,H1,H4,H1,L1,PT
H2,PT,L2,L2,H3,H4
H3,L4,H4,L3,L4,H2
H3,L3,H2,L4,PT,L4
H3,H4,SC,L3,H2,H2
H3,L3,H3,H4,H3,H3
H4,H3,H4,H3,H4,SC
H1,L1,L3,H2,H1,H1
H1,L4,H1,L1,H2,H1
PT,L4,L4,L3,L2,H3
L3,H2,H1,L4,L3,H1
H2,L1,H2,L1,H3,H3
H3,H4,L2,H3,H2,L3
H4,SC,L2,H2,PT,H4
H2,H2,H2,H4,H4,H1
H1,H3,L2,SC,H1,H1
H1,L2,H4,H1,L3,H4
L1,H1,H1,H4,H2,L4
H3,H4,H3,H3,H4,L3
L4,L1,H2,L2,SC,H1
SC,H1,L2,H1,L3,L3
H1,H1,H2,H3,H2,L2
H1,H2,L4,H3,H2,H1
H1,H3,L4,PT,L4,H1
L4,H2,SC,H4,H1,H4
PT,H1,H2,L4,L2,L3
PT,H3,H3,H4,H1,H2
H3,H4,H2,H4,H1,SC
H4,H2,H3,H2,H4,H1
H1,H4,H1,H2,L1,H4
H2,H1,H2,H3,H3,H4
L3,H3,H3,H4,H4,H1
H4,PT,L3,H4,H1,H2
H4,L3,H3,H4,H2,H3
H2,SC,L3,H2,H1,H2
H2,H4,H1,L4,H2,H3
L2,H2,L4,SC,H4,H2
H1,H4,H2,H3,H1,H4
H4,H1,H4,L4,L1,H2
H2,H3,H4,H1,SC,H2
H4,PT,H2,H2,H1,H3
H1,PT,L3,H1,H3,H2
SC,H2,H1,L4,H3,L4
L2,L3,PT,H3,H1,L2
H3,H3,H1,H1,H2,H3
H1,H2,H1,H1,H3,L4
L3,H3,H1,L3,H3,SC
H3,H1,SC,H1,L3,H4
L2,H4,H3,L4,L2,H4
L3,H1,H1,L4,L3,L3
L3,L3,H3,L1,L2,H2
L4,L1,L3,H4,H4,H1
H3,SC,H4,SC,H1,L2
H1,L1,H3,H4,H4,H2
